Plekhg2,15373
Plekhg3,4955
Plekhg1,14544
Plekhg6,3019
4930592I03Rik,987
Plekhg4,4167
Plekhg5,7678
Nsa2,2686
Nampt,4547
Vmo1,672
Man2a1,6078
F930015N05Rik,3540
4931406P16Rik,5808
Vwf,8834
Mier1,23735
Mier2,2562
Mier3,5277
Aqp11,1322
Aqp12,2173
1810010H24Rik,1099
Tubal3,3096
Dag1,43936
Myadm,11644
Gm15008,460
Sacs,3343
Zfp712,3970
Zfp710,13528
Zfp711,4330
Zfp715,4190
Mllt4,7383
Mllt6,7271
Zfp719,4993
Mllt1,3609
Mllt3,15610
Btg4,1311
Btg3,3836
Btg2,3083
Btg1,5008
Smok3a,4882
Smok3b,2331
Nupl1,2394
Nupl2,2909
Hoxd3os1,794
Ttc30a2,2008
Npat,7347
Ttc30a1,2862
Gga1,3034
Gga3,7128
1700018C11Rik,671
Sorbs1,27660
Sorbs3,10880
Sorbs2,12134
Tshz2,5113
Tshz3,5002
Tshz1,5814
Speer4d,1159
Speer4e,1239
Speer4a,1503
Speer4b,1977
Speer4c,1190
Arhgef28,6259
Arhgef25,4460
Arhgef26,5205
Efnb1,3358
Mkl1,8494
Mkl2,17194
Lmna,6776
Fndc3c1,4812
Mcemp1,1132
Sorcs1,15286
Sorcs2,5721
Supt16,4491
Trim34a,2580
Trim34b,1535
Prepl,13680
4933412E24Rik,1753
Cdhr1,4304
Cdhr2,4127
Cdhr3,2953
Cdhr5,4772
Gm36633,640
Gm12866,1671
Tcof1,9150
Gm3279,1092
Prmt10,2781
AI662270,1408
Olfr523,954
Olfr522,939
Olfr521,966
Olfr520,951
Olfr527,918
Olfr525,930
Olfr524,957
Gm10640,1134
Gm10649,1537
Zik1,4191
5730435O14Rik,617
Usp8,8387
Usp1,7171
Usp2,10863
Usp3,16414
Usp4,3668
Usp5,3176
Usp7,5427
Rpl38,1006
Rpl39,394
Rpl36,407
Rpl37,867
Rpl34,1680
Rpl35,452
Rpl32,504
Rpl30,1094
Rpl31,3403
Cd302,2673
Fam13b,3344
Fam13c,9938
Fam13a,4293
Bcas2,1413
Bcas3,10792
Bcas1,6042
Gm8369,1374
Gm8363,2081
Hist3h2ba,462
Mlycd,2100
Hist4h4,439
Rpl3l,2411
Ttbk2,33133
Gm10046,632
Ttbk1,6959
Ncor2,25588
Ncor1,20689
1810010D01Rik,935
Pebp1,1182
Gkn1,1220
Gkn2,777
Gkn3,793
Magohb,766
Nkiras1,4589
Ppme1,2361
Gltpd2,1203
Gm19276,870
Gm19277,1165
Cep162,5295
Gm14015,3949
Lrriq1,7774
Lrriq3,2650
Lrriq4,4611
Vmn2r84,2550
Vmn2r85,2553
Vmn2r86,2547
Vmn2r87,2547
Vmn2r80,2592
Vmn2r81,3276
Vmn2r82,2598
Vmn2r83,2595
Tinf2,1739
Vmn2r88,2574
Vmn2r89,8096
Egf,4757
Slc4a11,3201
Slc4a10,38199
4930519G04Rik,2041
BC026585,1289
1700013D24Rik,534
Ptprz1,8068
Pold1,3424
Pold2,1610
Pold3,3002
Pold4,1590
Hdac1,1971
Hdac3,2005
Hdac2,2004
Hdac5,19613
Hdac4,3945
Gm11681,1636
Hdac6,8209
Hdac9,12623
Hdac8,1724
Gmpr,1584
Gmps,4567
1110032F04Rik,2578
4930557J02Rik,1075
Pvr,2888
4732471J01Rik,6009
Lix1l,2509
Ikzf5,4390
Ikzf4,3580
Ikzf1,30777
Ikzf3,4098
Ikzf2,9421
H2afv,1636
Mbtd1,5231
H2afx,1359
H2afy,7824
H2afz,1069
H2afj,1827
Theg,2426
Sept10,4361
Fgf18,3123
Fgf13,7015
Fgf12,19729
Fgf11,5152
Fgf10,4572
Fgf17,1687
Fgf16,3040
Fgf15,1807
Fgf14,6048
Dpcr1,2608
Prss46,1257
Prss44,1838
Prss45,1232
Prss42,1555
Snrpd1,837
Faap100,3175
Prss41,1112
Prss48,949
Phc1,15418
Phc3,44009
Phc2,10440
Sh2d4b,1296
Golt1b,2796
Golt1a,1842
4930544M13Rik,1412
Grin1os,2894
Chmp3,2592
Chmp7,2706
Chmp6,1561
Chmp5,1372
Mir6940,70
Mir6941,59
Mir6942,61
Mir6943,66
Mir6944,96
Mir6945,68
Mir6946,69
Gcnt2,12713
Mir6948,62
Mir6949,68
Mark4,2259
Mark1,4565
Mark2,18076
Mark3,6731
4930565D16Rik,1112
Nmd3,1738
Rps15a-ps6,824
Extl1,4114
Extl2,8768
Extl3,5978
Gm7609,1611
Tia1,13101
Tmem160,815
Tmem163,2517
Tmem165,1896
Tmem164,12405
Tmem167,10809
Tmem169,2815
Tmem168,4548
Tbc1d8,4439
Tbc1d9,10997
Tbc1d1,10185
Tbc1d2,4305
Tbc1d4,6641
Tbc1d5,16881
Tbc1d7,3649
Spata45,428
Tex13a,1317
Mir3070a,89
Mir3070b,89
4933405E24Rik,1081
Upb1,3042
Akirin2,1719
Akirin1,2370
Olfr247,1890
Ap3m1,4424
Crhbp,1681
Limd2,2950
Limd1,4853
1700046C09Rik,562
Nop58,1976
Acsf2,3069
Nop56,1895
Gga2,4891
Sarnp,1062
Kcnip4,10943
Kcnip3,11346
Kcnip2,8995
Kcnip1,8795
4930553E22Rik,539
4930447A16Rik,587
Tpcn1,4648
Tpcn2,2909
Tcirg1,8450
Ltbp4,10403
Ltbp3,5190
Ltbp2,6603
Tcl1,9489
Olfr911-ps1,940
Chadl,2546
Pappa,11027
9530082P21Rik,3162
Gm1600,4490
Cxx1a,1275
Secisbp2,6629
Cxx1c,952
Cxx1b,1232
Cacna1h,16403
Cacna1i,9794
Murc,2044
Calhm1,1047
Calhm2,2049
Cacna1a,31416
Cacna1b,19423
Cacna1c,147979
Cacna1d,26917
Cacna1e,12697
Cacna1f,6075
Cacna1g,32592
Olfr1415,936
Cacna1s,12439
Olfr1414,1189
Xrn1,5501
Xrn2,3367
Pde11a,2848
Gm17689,330
Nubpl,1193
Dqx1,3158
Dynlrb1,3232
Mir7228,39
Mir7229,53
Mir7222,75
Mir7223,69
Mir7220,60
Mir7221,72
Mir7226,60
Mir7227,59
Mir7224,60
Mir7225,54
Mir1298,98
1600015I10Rik,2484
Cnot8,2035
Gm10486,11088
Gm10487,8163
Cnot3,2905
Cnot2,11940
Cnot1,24984
Cnot7,7669
Cnot6,11098
Cnot4,21369
Mir3107,90
Mir3106,82
Mir3105,85
Mir3104,63
Mir3103,67
Mir3102,104
Mir3101,88
Mir3100,65
Oscar,3672
Mir3109,88
Mir3108,79
Sirpb1a,1232
Sirpb1b,1496
B930018H19Rik,2121
Nfic,12513
Cnr1,5807
Nfia,28171
Mir877,85
Mir876,81
Mir875,78
Mir874,76
Mir879,76
Mir878,78
Cxcr3,1609
Cxcr2,3043
Cxcr1,1124
Ttyh1,11654
Ttyh2,3456
Cxcr4,1814
Cyp2j11,1934
Cyp2j12,1944
Cyp2j13,4374
Fbxl20,8607
Fbxl21,1965
Fbxl22,3935
D19Bwg1357e,7100
5930412G12Rik,2405
Dlc1,20047
Pkig,6439
Pkia,3682
Pkib,32478
1810026J23Rik,3170
Trnt1,6473
A930031H19Rik,949
Lnpep,5181
Gss,3791
Gsr,2672
Izumo1,1493
Gsc,1174
Izumo3,1263
Izumo4,938
Gsn,10460
Wnt3,3115
Wnt2,2115
Wnt1,2371
Wnt6,2068
Wnt4,3823
Syngap1,4023
Fam219aos,708
Trpd52l3,2231
Grhl1,6568
Grhl2,4946
Sod1,648
1190005I06Rik,734
Defa6,282
Defa5,421
Defa4,167
Defa3,410
Defa2,424
Cyp4f41-ps,1114
Hhatl,3620
Tmprss9,3454
Cyp4a12a,2422
Tmprss2,3161
Tmprss3,5610
Tmprss4,2267
Tmprss5,2049
Tmprss6,3192
Tmprss7,2585
Trhr,3976
4933427I22Rik,1771
Tmed11,763
Tmed10,3526
Sdpr,3055
Gm15217,674
Gulo,2265
Rrh,1394
3110082I17Rik,1461
Id4,1660
Id2,1272
Id3,953
Id1,934
Rrnad1,2847
Tpd52,11662
Asgr1,3583
Asgr2,1372
Csn2,6663
Csn3,1597
Sorcs3,5634
Trub1,8093
Trub2,15614
Ids,4972
Zfp503,4213
Zfp507,6690
Ide,4964
Arpp21,28067
Barhl2,2314
Barhl1,7065
Gsta4,958
Gsta1,861
Gsta2,855
Gsta3,4360
Lyl1,1801
Med30,871
Med31,1161
Tmem29,4097
Ctag2,857
Tmem28,1416
Gm6537,1050
Ccnyl1,2925
Tat,2377
1700018G05Rik,399
Upk2,874
Taz,8919
Apoc4-apoc2,644
Mir409,79
Aacs,3173
Olfr196,930
Olfr197,926
Olfr194,921
Olfr195,927
Olfr192,924
Olfr193,930
Olfr190,924
Olfr191,930
Immp1l,955
Prl7a1,1915
Prl7a2,1277
Olfr198,921
Olfr199,927
Hotair,2222
Lrrc18,3837
Mb,3132
Lrrc17,2188
Lrrc14,2277
Lrrc15,5308
Lrrc10,1428
Basp1,1855
Fiz1,10424
Nespas,2248
Apopt1,1745
Myd88,1905
Gm20806,3996
Gm20809,5953
1700012B09Rik,685
Gm11186,1179
1700028D13Rik,1274
4930539M17Rik,848
Glb1l2,3686
Glb1l3,2465
Gm11236,4960
Gm11237,4948
Gm4827,807
D17H6S53E,2126
Gm6093,5375
Efhd1,1805
Fam206a,4299
Usp47,11140
Eddm3b,1239
Zcchc13,1079
Zcchc12,2189
Krt28,1489
Zcchc10,1257
Zcchc17,1411
Alkbh8,2269
Olfr1274-ps,1035
Zcchc14,6476
Krt23,1539
Krt20,1930
1700126H18Rik,404
Krt26,2600
Krt27,1539
Krt24,1689
Krt25,1651
Ppp1r18,8526
Dnaja2,2839
Dnaja3,5175
Dnaja1,16680
Dnaja4,3005
A630010A05Rik,1622
Gm19402,801
Acer2,9449
Acer3,4058
Acer1,2429
Recql,8619
D330045A20Rik,3738
Psma8,1693
Alppl2,2112
Lactb2,1887
Agbl4,5525
Agbl3,17070
Agbl2,3462
Agbl1,3369
Ccser2,13078
Ccser1,11256
Stard8,4963
Srp14,790
Stard3,2083
